Region/Country code,Region/Country name,Local authority code ,Local authority name,Year ending Dec 1995,Year ending Mar 1996,Year ending Jun 1996,Year ending Sep 1996,Year ending Dec 1996,Year ending Mar 1997,Year ending Jun 1997,Year ending Sep 1997,Year ending Dec 1997,Year ending Mar 1998,Year ending Jun 1998,Year ending Sep 1998,Year ending Dec 1998,Year ending Mar 1999,Year ending Jun 1999,Year ending Sep 1999,Year ending Dec 1999,Year ending Mar 2000,Year ending Jun 2000,Year ending Sep 2000,Year ending Dec 2000,Year ending Mar 2001,Year ending Jun 2001,Year ending Sep 2001,Year ending Dec 2001,Year ending Mar 2002,Year ending Jun 2002,Year ending Sep 2002,Year ending Dec 2002,Year ending Mar 2003,Year ending Jun 2003,Year ending Sep 2003,Year ending Dec 2003,Year ending Mar 2004,Year ending Jun 2004,Year ending Sep 2004,Year ending Dec 2004,Year ending Mar 2005,Year ending Jun 2005,Year ending Sep 2005,Year ending Dec 2005,Year ending Mar 2006,Year ending Jun 2006,Year ending Sep 2006,Year ending Dec 2006,Year ending Mar 2007,Year ending Jun 2007,Year ending Sep 2007,Year ending Dec 2007,Year ending Mar 2008,Year ending Jun 2008,Year ending Sep 2008,Year ending Dec 2008,Year ending Mar 2009,Year ending Jun 2009,Year ending Sep 2009,Year ending Dec 2009,Year ending Mar 2010,Year ending Jun 2010,Year ending Sep 2010,Year ending Dec 2010,Year ending Mar 2011,Year ending Jun 2011,Year ending Sep 2011,Year ending Dec 2011,Year ending Mar 2012,Year ending Jun 2012,Year ending Sep 2012,Year ending Dec 2012,Year ending Mar 2013,Year ending Jun 2013,Year ending Sep 2013,Year ending Dec 2013,Year ending Mar 2014,Year ending Jun 2014,Year ending Sep 2014,Year ending Dec 2014,Year ending Mar 2015,Year ending Jun 2015,Year ending Sep 2015,Year ending Dec 2015,Year ending Mar 2016,Year ending Jun 2016,Year ending Sep 2016,Year ending Dec 2016,Year ending Mar 2017,Year ending Jun 2017,Year ending Sep 2017,Year ending Dec 2017,Year ending Mar 2018,Year ending Jun 2018,Year ending Sep 2018,Year ending Dec 2018,Year ending Mar 2019,Year ending Jun 2019,Year ending Sep 2019,Year ending Dec 2019
E12000001,North East,E06000047,County Durham,"75,950","75,000","74,600","75,000","75,000","75,950","77,000","79,000","80,000","80,000","79,995","79,950","79,950","79,995","80,000","82,000","83,500","84,500","85,000","86,500","87,000","87,995","88,500","89,000","90,900","92,000","95,000","100,000","106,500","110,000","119,950","126,950","135,000","141,995","150,000","157,500","165,000","169,950","175,000","177,000","178,000","179,995","180,000","182,000","183,000","184,475","185,000","187,500","190,000","192,000","195,000","195,000","191,000","187,500","175,000","174,997","173,000","175,000","175,746","180,000","187,725","185,000","185,000","185,000","179,995","178,000","175,000","175,000","175,000","177,000","177,500","177,500","179,950","179,950","180,000","181,725","182,995","182,000","180,000","185,000","184,950","184,995","184,950","185,000","186,998","190,000","195,000","195,455","195,000","195,000","197,500","198,000","200,000","200,000","201,950","206,531","208,450"
E12000001,North East,E06000005,Darlington,"79,950","79,950","80,000","80,000","81,950","83,000","81,950","84,500","85,500","85,500","85,950","85,950","84,500","85,000","85,995","86,995","88,500","88,950","89,995","92,500","94,500","95,000","95,995","98,000","98,627","100,801","105,350","115,000","127,000","135,000","141,000","149,950","155,000","158,950","168,250","173,000","183,000","189,973","198,500","205,000","203,500","202,000","203,000","201,000","204,000","206,500","203,000","203,500","205,000","203,000","207,000","205,000","199,975","203,000","190,000","190,000","190,500","195,000","200,000","198,975","200,000","199,975","195,000","195,500","185,000","185,000","191,225","190,000","200,000","200,000","195,000","200,000","198,725","207,500","209,000","210,000","208,750","200,000","207,000","212,000","215,000","215,000","212,950","200,000","197,950","203,000","205,000","209,498","215,000","215,000","220,000","226,500","231,000","237,500","241,000","247,750","249,950"
E12000001,North East,E06000001,Hartlepool,"72,000","71,375","72,000","72,748","74,000","75,390","76,000","77,000","77,000","76,950","75,000","76,000","76,950","78,000","80,000","84,973","87,995","88,000","87,995","87,995","87,995","88,995","89,995","90,000","91,000","91,995","92,500","95,000","103,500","109,000","116,500","126,950","142,500","148,500","156,500","165,000","171,000","175,950","180,000","183,500","187,000","191,995","195,000","199,950","199,950","199,950","200,000","200,000","204,950","206,500","212,250","213,250","205,000","206,750","190,000","188,000","185,000","190,000","192,250","192,500","195,000","194,950","194,975","200,000","200,000","195,000","190,000","187,005","186,975","186,950","181,000","183,000","185,000","187,000","190,000","194,250","189,998","191,250","189,000","180,745","182,748","184,975","190,000","199,950","199,995","198,500","201,748","205,000","209,000","208,000","215,000","218,250","220,000","224,950","219,950","217,500","217,248"
E12000001,North East,E06000002,Middlesbrough,"72,000","71,515","72,000","72,000","74,500","74,705","75,250","78,975","82,000","82,500","82,450","80,000","81,000","83,500","83,950","83,950","83,000","82,250","83,995","85,000","89,475","90,796","91,750","90,000","91,750","93,500","99,225","111,000","123,500","125,000","129,975","140,000","155,000","165,000","175,000","179,000","188,000","190,000","192,750","194,625","200,000","207,000","208,000","209,000","210,000","205,000","205,000","210,000","204,975","210,000","209,000","202,250","197,995","194,995","182,500","175,000","175,000","182,750","184,500","185,000","185,000","181,000","181,000","176,950","175,000","179,950","185,000","193,500","197,500","194,975","191,500","187,000","189,000","194,000","215,000","225,000","225,000","229,950","229,975","229,995","230,000","231,500","234,950","239,950","239,950","239,950","230,000","229,950","229,995","229,950","224,000","219,950","216,475","217,950","219,950","219,950","220,000"
E12000001,North East,E06000057,Northumberland,"82,475","81,000","83,500","85,950","87,500","89,350","89,725","90,000","89,000","88,000","89,900","88,000","89,400","91,000","91,000","93,000","95,000","95,000","96,000","97,950","98,950","100,000","102,500","107,900","110,000","112,000","120,000","128,500","137,000","145,000","153,350","160,000","174,000","180,000","190,000","200,000","207,500","210,000","221,500","226,000","230,000","232,750","232,500","235,000","237,000","239,000","245,000","245,500","249,950","250,000","250,000","250,000","249,950","247,000","244,500","235,000","234,125","245,000","240,000","240,000","245,000","243,000","240,000","240,000","238,750","234,950","235,000","230,000","230,000","230,000","230,000","235,000","238,450","238,000","240,000","241,975","241,725","242,000","240,000","244,400","242,975","245,000","247,975","249,950","254,998","259,950","260,500","262,500","261,700","260,700","261,995","269,995","267,000","267,950","265,100","265,050","271,475"
E12000001,North East,E06000003,Redcar and Cleveland,"72,500","72,250","72,250","72,500","72,995","74,995","75,000","77,400","77,000","76,750","75,475","75,000","76,725","76,725","78,995","80,000","82,748","84,000","85,000","85,000","85,000","86,500","88,995","90,748","92,000","92,000","97,998","104,950","117,000","123,950","129,450","135,000","144,000","147,000","154,000","164,000","168,000","170,000","175,000","179,995","190,500","195,000","197,750","198,750","195,000","196,000","199,000","200,000","200,000","200,500","202,205","197,998","191,712","182,500","175,000","180,000","185,000","185,000","186,500","185,000","190,750","185,500","185,500","179,950","182,000","185,000","180,000","182,670","180,000","184,950","189,950","192,000","194,995","199,000","195,000","189,950","189,950","189,950","190,000","197,475","199,950","199,973","204,950","208,950","214,950","213,995","205,000","205,000","204,998","207,998","216,750","219,950","220,000","220,000","214,995","218,000","220,000"
E12000001,North East,E06000004,Stockton-on-Tees,"73,000","72,950","75,000","75,000","75,995","76,500","75,995","77,000","77,500","77,500","78,995","79,950","80,500","82,000","82,500","84,000","84,500","84,950","84,995","85,613","87,950","88,000","90,950","91,995","94,000","94,995","99,500","106,198","114,475","120,000","127,000","135,000","142,000","145,250","155,000","164,950","175,000","182,000","189,950","190,000","194,702","195,000","197,000","195,500","200,000","200,000","208,000","214,950","214,950","215,000","214,950","212,000","207,250","200,000","189,950","189,475","186,500","190,000","195,000","195,000","205,000","200,000","199,950","199,225","194,000","192,500","195,500","195,000","195,000","195,000","194,250","195,000","196,250","195,000","199,950","199,950","199,950","200,000","203,248","205,000","205,000","210,000","207,750","212,750","220,000","223,995","225,000","225,998","224,995","222,995","224,995","225,498","229,250","228,998","229,998","230,000","232,998"
E12000001,North East,E08000037,Gateshead,"74,500","74,950","74,950","75,000","76,750","76,850","78,825","79,950","79,995","80,000","82,500","83,975","86,000","86,183","87,000","87,500","88,000","89,950","91,000","92,950","95,000","95,000","99,995","105,995","110,000","115,000","118,000","122,000","129,000","133,000","142,000","159,000","170,748","175,000","180,000","183,000","189,950","189,950","195,000","204,000","198,000","200,000","199,950","198,000","205,500","214,498","215,500","216,000","217,500","215,250","215,250","220,000","220,000","216,500","200,000","200,000","195,450","199,950","206,750","210,000","210,000","210,000","205,000","205,000","207,500","204,998","209,950","205,148","204,498","204,498","203,995","202,250","205,000","209,950","209,475","212,000","214,975","214,975","225,000","224,975","225,000","225,000","219,950","220,000","219,995","225,000","230,000","232,000","238,000","242,000","247,750","249,950","249,950","248,475","245,000","255,000","259,950"
E12000001,North East,E08000021,Newcastle upon Tyne,"92,000","95,000","95,000","95,000","95,000","94,000","96,000","97,000","100,000","101,325","100,000","105,475","103,475","104,950","109,950","112,125","117,950","120,500","120,000","119,995","123,000","123,995","125,000","130,000","135,000","135,750","147,000","152,950","169,500","178,000","191,375","200,000","223,500","240,000","248,000","249,950","249,995","254,950","249,950","249,950","249,950","245,000","249,950","249,999","269,950","270,000","275,000","276,500","279,950","278,000","285,000","285,475","285,475","278,000","250,000","247,000","247,000","249,950","263,950","262,500","255,000","260,500","250,000","250,000","249,950","245,000","249,640","249,950","249,950","250,000","249,950","249,950","249,950","245,000","244,000","245,000","249,950","249,950","249,997","250,000","265,995","269,950","268,500","265,000","262,950","258,950","262,000","262,950","265,000","265,000","269,950","269,950","271,950","276,950","273,000","279,998","278,975"
E12000001,North East,E08000022,North Tyneside,"84,425","83,950","81,750","80,000","78,975","79,000","80,000","82,950","85,000","86,950","90,000","89,700","89,973","89,950","89,950","90,000","95,000","96,250","97,500","99,500","99,000","99,950","100,000","102,500","108,000","111,950","117,000","128,000","135,000","145,000","157,000","167,500","172,500","175,000","180,000","189,000","203,000","210,000","215,000","216,995","219,995","225,000","225,000","230,000","228,000","226,500","224,000","220,000","222,250","223,250","228,000","225,000","218,000","210,000","200,000","195,000","202,475","210,000","210,000","215,000","222,278","217,000","220,500","218,000","216,000","219,000","210,000","210,000","215,000","210,000","215,000","216,500","215,995","222,500","227,500","228,000","234,973","240,000","246,996","249,995","252,500","254,995","254,995","260,000","273,225","279,995","275,000","275,000","278,000","275,000","282,950","286,995","289,950","290,000","292,950","294,995","294,950"
